Family,Genus_Species
Rubiaceae,Galium aparine
Rubiaceae,Galium nuttallii
Rubiaceae,Galium porrigens
Salicaceae,Populus fremontii
Salicaceae,Salix laevigata
Salicaceae,Salix lasiolepis
Saururaceae,Anemposis californica
Saxifragaceae,Lithophragma cymbalaria
Saxifragaceae,Ribes amarum
Saxifragaceae,Ribes malvaceum
Saxifragaceae,Ribes malvaceum
Saxifragaceae,Ribes speciosum
Scrophulariaceae  ,Castilleja affinis
Scrophulariaceae  ,Castilleja attenuata
Scrophulariaceae  ,Castilleja exserta
Scrophulariaceae  ,Castilleja foliolosa
Scrophulariaceae  ,Collinsia heterophylla
Scrophulariaceae  ,Keckiella cordifolia
Scrophulariaceae  ,Mimulus aurantiacus
Scrophulariaceae  ,Mimulus brevipes
Scrophulariaceae  ,Mimulus guttatus
Scrophulariaceae  ,Veronica peregrina
Solanaceae,Datura sp.
Solanaceae,Nicotiana glauca
Solanaceae,Solanum umbellatum
Solanaceae,Solanum xanti
Tamaricaceae,Tamarix gallica
Typhaceae,Typha angustifolia
Valerianaceae,Plectritis ciliosa
Verbenaceae,Verbena bracteata
Verbenaceae,Verbena lasiostachys
Violaceae,Viola pedunculata
Viscaceae,Arceuthobium occidentale
Viscaceae,Phoradendron macrophyllum
Viscaceae,Phoradendron villosum
Zannichelliaceae,Zannichellia palustris
